fit_scheme,num_demos,layer,cosine_deployed_vs_control,deployed_direction_l2,control_direction_l2,deployed_pc1_l2,control_pc1_l2,deployed_pc1_share_of_direction_norm,control_pc1_share_of_direction_norm,deployed_pc1_explained_variance,control_pc1_explained_variance,deployed_cosine_pc1_with_mean,control_cosine_pc1_with_mean,deployed_pc1_sign,control_pc1_sign,pc1_sign_agrees_between_arms
global,100,20,0.45811832892883364,22.158133438358696,4.802583616064142,0.14314050794528388,0.16308755232601072,0.006459953332417815,0.03395829523519379,0.7073857356181967,0.4623872691478391,0.9502064260338289,-0.5503318225981302,1,-1,False
global,100,21,0.3876087459653744,29.150958371569068,5.830826082800756,0.19555151108543625,0.21728536192436737,0.006708236092716514,0.03726493619236837,0.7073857356181967,0.4623872691478391,0.9505973436152354,-0.5903537916456489,1,-1,False
global,100,22,0.266332251313792,39.06602906519805,6.983058103993157,0.27015725813186503,0.2695300910523552,0.006915401042706295,0.038597715648138235,0.7073857356181967,0.4623872691478391,0.9560696749297763,-0.5500651874606156,1,-1,False
global,100,23,0.23186502511862628,48.20127424545652,8.503887507133625,0.3405187389322495,0.33535513925838706,0.007064517365209427,0.03943550981560715,0.7073857356181967,0.4623872691478391,0.9575502062935178,-0.5245245866975475,1,-1,False
global,100,24,0.16506830773099804,57.73178062126073,9.847620351565856,0.41066361072342933,0.3956287388033466,0.0071133023493163364,0.04017506003269493,0.7073857356181967,0.4623872691478391,0.9607899874025185,-0.47250191965175053,1,-1,False
global,100,25,0.20813138975659232,65.6665817480794,11.758532340855677,0.46733623610018954,0.47268852806535605,0.007116804676891197,0.04019961967727668,0.7073857356181967,0.4623872691478391,0.9550748443976402,-0.5310004239233332,1,-1,False
global,100,26,0.24088015094346837,74.14931151061745,12.98360964522185,0.524941476217926,0.5242045501560904,0.00707951922308489,0.04037433075084824,0.7073857356181967,0.4623872691478391,0.9541594715119288,-0.5734735232975365,1,-1,False
global,100,27,0.1667690362458085,41.146192372346775,6.54598312445732,0.27767575525090915,0.25980238680734197,0.0067485164298587055,0.03968882624164729,0.7073857356181967,0.4623872691478391,0.9530280635104071,-0.48311334645270765,1,-1,False
global,200,0,0.9961944929786312,0.1686701693124751,0.16694523520798005,0.00036281130622168293,0.0004877466649269568,0.0021510105058918016,0.0029215967998087694,0.6488517945180334,0.3770052322024377,0.5696757127301268,-0.2068173894514536,1,-1,False
global,200,1,0.9929529061362117,0.25938369562755387,0.2572612284040375,0.0006119100260052395,0.0008181898465708094,0.0023590920953022207,0.0031803853680035087,0.6488517945180334,0.3770052322024377,0.6825869592772138,-0.20309552322361182,1,-1,False
global,200,2,0.9905438951922657,0.29324368108273047,0.29611212296303774,0.0006706212274754555,0.0011004309600080716,0.002286907683737126,0.0037162644642733294,0.6488517945180334,0.3770052322024377,0.5608181945819043,-0.06918882544844494,1,-1,False
global,200,3,0.990257417052392,0.34529602505439444,0.34709584208566024,0.0008244935243829925,0.0014371134938416259,0.002387787476711063,0.0041403938612637105,0.6488517945180334,0.3770052322024377,0.4624939800612784,-0.07855407948434216,1,-1,False
global,200,4,0.9798134667866985,0.42264096754588015,0.41554704009639526,0.0009591263058035015,0.002461941197009774,0.0022693642582090265,0.005924578830927715,0.6488517945180334,0.3770052322024377,0.3565537558358725,-0.05217806790667321,1,-1,False
global,200,5,0.959520466977678,0.6082579025222085,0.5628549978782417,0.0011766483142979058,0.0030245834374181767,0.0019344562716222902,0.005373645874727513,0.6488517945180334,0.3770052322024377,0.22340046453913845,0.04698609805754473,1,1,True
global,200,6,0.9570364191726041,0.6543719275077297,0.5981681104817103,0.0012386337108836831,0.0030240522367718722,0.0018928588755345896,0.005055522325214855,0.6488517945180334,0.3770052322024377,0.18908662715655375,0.08142772136186155,1,1,True
global,200,7,0.9501990349796516,0.7464373621403833,0.6664733835388443,0.001460359654084299,0.0036716191413086728,0.0019564396534181624,0.005509025914603052,0.6488517945180334,0.3770052322024377,0.11651584196880807,0.15262954510246218,1,1,True
global,200,8,0.9529935349054611,0.8831798712223474,0.782334430994475,0.0018120197756705003,0.004214516114303488,0.002051699585456596,0.0053871029413164765,0.6488517945180334,0.3770052322024377,0.09735880222122134,0.18987689475811473,1,1,True
global,200,9,0.9547875987770866,1.1367192652577462,1.0260944993734598,0.0020545375714612897,0.005141951186547431,0.0018074274222804098,0.005011186776351633,0.6488517945180334,0.3770052322024377,0.04502973060190831,0.2331677854168213,1,1,True
global,200,10,0.94645256210449,1.1155621332793426,1.0024899130667995,0.002133423566750308,0.0055554256786376115,0.0019124202078093372,0.00554162750789437,0.6488517945180334,0.3770052322024377,0.10240517230089737,0.2333968559060258,1,1,True
global,200,11,0.9455486134404059,1.3188031155120785,1.166386577376362,0.002554127638212879,0.006844974899122287,0.0019367012468886502,0.005868530238507362,0.6488517945180334,0.3770052322024377,0.07553636415643959,0.2877419989210834,1,1,True
global,200,12,0.9241743081502976,1.3969755551838252,1.1957382201814382,0.00270524610466853,0.007361660922082099,0.0019365021060175618,0.0061565824340423445,0.6488517945180334,0.3770052322024377,0.07938615218609289,0.27320508265449095,1,1,True
global,200,13,0.9047188107227048,1.5131736749549443,1.3077508280266446,0.003068652809743002,0.008180871391659553,0.002027958099280556,0.006255680528992082,0.6488517945180334,0.3770052322024377,0.12926875913013325,0.28147286655252957,1,1,True
global,200,14,0.9086897619538095,1.905104979101225,1.5785452338896235,0.0037222709841524125,0.009445541224041674,0.001953840352623757,0.005983700068427772,0.6488517945180334,0.3770052322024377,0.1708696301144858,0.34514630943161373,1,1,True
global,200,15,0.8364958642001215,2.189940671966695,1.7703325370014078,0.005389966166846055,0.012137885380004041,0.002461238441681413,0.006856274245833617,0.6488517945180334,0.3770052322024377,0.359422548567754,0.28148588618419007,1,1,True
global,200,16,0.7646850803474207,2.478455847649214,1.8322005070910432,0.007680743742261844,0.014512323567082631,0.0030990036596967984,0.007920707101060477,0.6488517945180334,0.3770052322024377,0.45176823103635244,0.22078312573490771,1,1,True
global,200,17,0.6384202267646788,3.469395916179647,2.0315599083391347,0.015471974239014372,0.023757338302063398,0.004459558555096088,0.011694136217467385,0.6488517945180334,0.3770052322024377,0.6479492377728182,0.1735645684017486,1,1,True
global,200,18,0.5164547143537733,9.598232858853347,2.8125680769130343,0.05512000135136611,0.0633476404730282,0.005742723911988006,0.022523060328038746,0.6488517945180334,0.3770052322024377,0.892991493349706,0.3485361163414229,1,1,True
global,200,19,0.4872817693676279,13.89928196756686,3.2580041294616318,0.09176393491212308,0.10538060144700641,0.006602062978954503,0.03234514053989858,0.6488517945180334,0.3770052322024377,0.9256665965582902,0.3870375732756676,1,1,True
global,200,20,0.3820217819498001,20.556517756799614,3.897024426592072,0.14591622476055285,0.15725799922931535,0.007098294880818867,0.04035335220283355,0.6488517945180334,0.3770052322024377,0.9313970953161763,0.3910171664780097,1,1,True
global,200,21,0.3539772189139956,26.84681442380922,4.642256569894244,0.2002921755432176,0.21052461896925942,0.0074605564884296875,0.04534963024976782,0.6488517945180334,0.3770052322024377,0.9248400038250933,0.4299312822416392,1,1,True
global,200,22,0.2774372838575887,35.48069732353563,5.58603579307413,0.2707769901600308,0.26657638759025704,0.007631670473973877,0.04772192615034313,0.6488517945180334,0.3770052322024377,0.9315394981005941,0.4034521566878308,1,1,True
global,200,23,0.23896507363572042,43.64675663155453,6.745464262168609,0.3434692734165311,0.33580874209661854,0.007869296596673557,0.04978289544575527,0.6488517945180334,0.3770052322024377,0.9330988089541357,0.370983253078317,1,1,True
global,200,24,0.17459904916475552,52.02724758308773,7.87093348689833,0.4114849113463902,0.399430269409991,0.007909027105253782,0.050747509183614384,0.6488517945180334,0.3770052322024377,0.9373323766652932,0.3113879885788102,1,1,True
global,200,25,0.21282826343749597,59.04375336522507,9.404591743780331,0.46761690371053105,0.47292912952007454,0.00791983702015026,0.050287045137588596,0.6488517945180334,0.3770052322024377,0.9271711311054094,0.38407574511415754,1,1,True
global,200,26,0.2452451695008305,66.65591458939906,10.483588233914013,0.522868237906592,0.5271058242745063,0.007844288704572794,0.0502791422663224,0.6488517945180334,0.3770052322024377,0.9256715921641618,0.43431752540588825,1,1,True
global,200,27,0.15020020545503596,36.580087646912794,5.374982081746909,0.2721767053716825,0.2639268414847474,0.007440570071861297,0.0491028318738077,0.6488517945180334,0.3770052322024377,0.9157261809512498,0.3377500320098531,1,1,True
global,500,0,0.9986691963963401,0.15004410981858007,0.15129319375196137,0.000323862948046271,0.0005734934164500113,0.002158451594253564,0.0037906094929176315,0.6580217223177928,0.3775078059367359,0.4519123607690969,0.3989956893712966,1,1,True
global,500,1,0.9978947664452671,0.2265017025064774,0.22840720810882784,0.0005672457400547309,0.0009233123012549713,0.002504377378966982,0.0040423956358463355,0.6580217223177928,0.3775078059367359,0.5748590114718098,0.48974077036302033,1,1,True
global,500,2,0.9973813925598092,0.26418245344011637,0.26745165342948457,0.0006339123666933054,0.0010882090450211772,0.002399524867903453,0.004068806571457936,0.6580217223177928,0.3775078059367359,0.47142801890771474,0.44769918625120736,1,1,True
global,500,3,0.9967151577944054,0.3199495849351933,0.32572590472961627,0.0007466113687316764,0.0013033540372059127,0.002333528167829643,0.004001382813834907,0.6580217223177928,0.3775078059367359,0.4153795298123487,0.4245356396900348,1,1,True
global,500,4,0.991943305358483,0.39248092664476353,0.3948094655253806,0.0011107481756360272,0.0016318523801312137,0.002830069183569195,0.004133265594227018,0.6580217223177928,0.3775078059367359,0.12528758120222408,0.2676720653045366,1,1,True
