fit_scheme,num_demos,layer,cosine_as_is,cosine_pc1_sign_aligned,deployed_pc1_sign,control_pc1_sign_as_is,control_pc1_flipped,pc1_sign_agreed_as_is
perlayer,50,4,0.9935022491454634,0.993502249145463,-1,-1,False,True
perlayer,50,5,0.9943903385598539,0.9943903385598538,-1,-1,False,True
perlayer,50,6,0.9944791623313414,0.9944791623313411,-1,-1,False,True
perlayer,50,7,0.9885660682663604,-0.9635268590219024,1,-1,True,False
perlayer,50,8,0.9908091059299472,0.9908091059299468,1,1,False,True
perlayer,50,9,0.98433763639617,0.9843376363961699,-1,-1,False,True
perlayer,50,10,0.9786104265308097,0.9786104265308095,1,1,False,True
perlayer,50,11,0.7539691405240359,0.7539691405240357,1,1,False,True
perlayer,50,12,0.724545504831844,0.7245455048318435,1,1,False,True
perlayer,50,13,0.6430016138989302,0.6430016138989298,1,1,False,True
perlayer,50,14,0.4048730998583565,0.40487309985835634,1,1,False,True
perlayer,50,15,0.36934486237154,0.36934486237153996,1,1,False,True
perlayer,50,16,0.450650563903399,0.450650563903399,1,1,False,True
perlayer,50,17,0.5582362937582285,0.5582362937582285,1,1,False,True
perlayer,50,18,0.6767821241869937,0.6767821241869938,1,1,False,True
perlayer,50,19,0.7316813100643439,0.7316813100643439,1,1,False,True
perlayer,50,20,0.816452356898272,0.8164523568982718,1,1,False,True
perlayer,50,21,0.8857401080972331,0.885740108097233,1,1,False,True
perlayer,50,22,0.8862116129896006,0.8862116129896004,1,1,False,True
perlayer,50,23,0.8844735627533644,0.8844735627533643,1,1,False,True
perlayer,50,24,0.8868416185189513,0.8868416185189512,1,1,False,True
perlayer,50,25,0.8915005528641848,0.8915005528641846,1,1,False,True
perlayer,50,26,0.9009367187475005,0.9009367187475004,1,1,False,True
perlayer,50,27,0.9088296822620806,0.9088296822620802,1,1,False,True
perlayer,50,28,0.9091615224316422,0.9091615224316422,1,1,False,True
perlayer,50,29,0.9084612787630454,0.9084612787630452,1,1,False,True
perlayer,50,30,0.915193900156099,0.9151939001560988,1,1,False,True
