fit_scheme,num_demos,layer,cosine_as_is,cosine_pc1_sign_aligned,deployed_pc1_sign,control_pc1_sign_as_is,control_pc1_flipped,pc1_sign_agreed_as_is
global,200,26,0.245245169314604,0.245245169314604,1,1,False,True
global,200,27,0.15020020573135634,0.15020020573135634,1,1,False,True
global,500,0,0.9986691963592271,0.9986691963592271,1,1,False,True
global,500,1,0.9978947664470765,0.9978947664470765,1,1,False,True
global,500,2,0.997381392590468,0.9973813925904683,1,1,False,True
global,500,3,0.9967151578981489,0.9967151578981487,1,1,False,True
global,500,4,0.9919433054438318,0.9919433054438318,1,1,False,True
global,500,5,0.9667099061843534,0.9667099061843534,1,1,False,True
global,500,6,0.9636181617034121,0.9636181617034119,1,1,False,True
global,500,7,0.9598576234888996,0.9598576234888994,1,1,False,True
global,500,8,0.9606863700316057,0.9606863700316056,1,1,False,True
global,500,9,0.9653277446446262,0.9653277446446263,1,1,False,True
global,500,10,0.9604483953628818,0.9604483953628818,1,1,False,True
global,500,11,0.9610706504169835,0.9610706504169835,1,1,False,True
global,500,12,0.9408795266816391,0.9408795266816392,1,1,False,True
global,500,13,0.9288014491711745,0.9288014491711745,1,1,False,True
global,500,14,0.9287043158191751,0.928704315819175,1,1,False,True
global,500,15,0.8704763570771813,0.8704763570771813,1,1,False,True
global,500,16,0.7987935538420108,0.7987935538420108,1,1,False,True
global,500,17,0.6735407981383403,0.6735407981383404,1,1,False,True
global,500,18,0.5207973050279131,0.5207973050279131,1,1,False,True
global,500,19,0.4945537252852928,0.4945537252852927,1,1,False,True
global,500,20,0.42056697338110755,0.42056697338110755,1,1,False,True
global,500,21,0.3869076777273413,0.3869076777273413,1,1,False,True
global,500,22,0.30991444114907757,0.3099144411490775,1,1,False,True
global,500,23,0.27206002236512283,0.2720600223651227,1,1,False,True
global,500,24,0.2131575135409111,0.21315751354091117,1,1,False,True
global,500,25,0.2494712276873839,0.24947122768738383,1,1,False,True
global,500,26,0.28268459588422495,0.28268459588422495,1,1,False,True
global,500,27,0.20413289999207282,0.20413289999207285,1,1,False,True
perlayer,50,0,0.9874375308780883,0.9874375308780877,-1,-1,False,True
perlayer,50,1,0.9882128264120897,0.9882128264120897,1,1,False,True
perlayer,50,2,-0.8447610889861292,0.9710593021277876,1,-1,True,False
perlayer,50,3,0.9799035376317923,0.9799035376317922,-1,-1,False,True
perlayer,50,4,0.9487091378098518,0.9487091378098517,1,1,False,True
perlayer,50,5,0.9282974294013051,0.9282974294013047,-1,-1,False,True
perlayer,50,6,-0.1845620634579005,0.716869528262432,1,-1,True,False
perlayer,50,7,0.8186255006330578,0.8186255006330582,-1,-1,False,True
perlayer,50,8,-0.2765766955014435,0.8944016312675279,-1,1,True,False
perlayer,50,9,0.17035090919479087,0.9251609562046051,-1,1,True,False
perlayer,50,10,0.23242061267342917,0.8906172688799388,-1,1,True,False
perlayer,50,11,0.41685640968769283,0.8046234161841029,-1,1,True,False
perlayer,50,12,0.43038635735942865,0.8113975838104044,-1,1,True,False
perlayer,50,13,0.4216419716494634,0.8370504636853383,-1,1,True,False
perlayer,50,14,0.9189330636736011,0.918933063673601,1,1,False,True
perlayer,50,15,0.6319497434886426,0.7537819313269241,-1,1,True,False
perlayer,50,16,0.8207125784044986,0.8207125784044985,1,1,False,True
perlayer,50,17,0.7011506993526293,0.7011506993526291,1,1,False,True
perlayer,50,18,0.737268181130981,0.7372681811309811,1,1,False,True
perlayer,50,19,0.7352429265825454,0.7352429265825452,1,1,False,True
perlayer,50,20,0.651319666684832,0.6513196666848318,1,1,False,True
perlayer,50,21,0.6228116203785655,0.6228116203785654,1,1,False,True
perlayer,50,22,0.587872853640659,0.587872853640659,1,1,False,True
perlayer,50,23,0.5689388482446736,0.5689388482446734,1,1,False,True
perlayer,50,24,0.5386859735647379,0.5386859735647378,1,1,False,True
perlayer,50,25,0.5295892291520704,0.52958922915207,1,1,False,True
perlayer,50,26,0.5379614534907637,0.5379614534907639,1,1,False,True
perlayer,50,27,0.47569510175140167,0.4756951017514015,1,1,False,True
perlayer,100,0,0.9983400014951977,0.9983400014951972,1,1,False,True
perlayer,100,1,0.9986177488638069,0.9986177488638063,1,1,False,True
perlayer,100,2,0.9969068439412669,0.9969068439412664,1,1,False,True
perlayer,100,3,0.9619337584415767,0.9619337584415765,-1,-1,False,True
perlayer,100,4,0.9774668226762689,0.977466822676269,-1,-1,False,True
perlayer,100,5,0.9795719089716738,0.9795719089716743,-1,-1,False,True
perlayer,100,6,0.9780604952822697,0.9780604952822699,-1,-1,False,True
perlayer,100,7,0.8675035381647348,0.8675035381647347,-1,-1,False,True
perlayer,100,8,-0.07587657807975084,0.9701893142902502,-1,1,True,False
perlayer,100,9,0.9780651243452374,0.9780651243452376,1,1,False,True
perlayer,100,10,0.9737739101171664,0.9737739101171661,1,1,False,True
perlayer,100,11,0.9730908364089544,0.9730908364089541,1,1,False,True
perlayer,100,12,0.9616110023593524,0.9616110023593524,1,1,False,True
perlayer,100,13,0.9513605337143495,0.9513605337143493,1,1,False,True
perlayer,100,14,0.9500353540825914,0.9500353540825912,1,1,False,True
perlayer,100,15,0.9213319252953642,0.9213319252953639,1,1,False,True
perlayer,100,16,0.8737405166218931,0.8737405166218928,1,1,False,True
perlayer,100,17,0.42857434551779144,0.7626122034182319,1,-1,True,False
perlayer,100,18,0.4024093851097154,0.6939362397037206,1,-1,True,False
perlayer,100,19,0.42467414927838,0.6665362847728112,1,-1,True,False
perlayer,100,20,0.3623681173677386,0.5515454936382848,1,-1,True,False
perlayer,100,21,0.3209903842225167,0.4685811491588306,1,-1,True,False
perlayer,100,22,0.2092333659371455,0.3497812112218302,1,-1,True,False
perlayer,100,23,0.1843653318027309,0.31443365480869734,1,-1,True,False
perlayer,100,24,0.12552994325806868,0.24625364004642947,1,-1,True,False
perlayer,100,25,0.18254864796582643,0.272867564355957,1,-1,True,False
perlayer,100,26,0.22122370068977,0.2982954269198001,1,-1,True,False
perlayer,100,27,0.09749078020644347,0.2679644723414826,1,-1,True,False
perlayer,200,0,0.9976450637316105,0.9976450637316105,1,1,False,True
perlayer,200,1,0.9984552112593698,0.9984552112593691,1,1,False,True
perlayer,200,2,0.9839712246327217,0.9839712246327215,-1,-1,False,True
perlayer,200,3,0.9865599410099585,0.9865599410099586,-1,-1,False,True
perlayer,200,4,0.9715908502708458,0.9715908502708458,-1,-1,False,True
perlayer,200,5,0.9793849737866799,0.9793849737866799,-1,-1,False,True
perlayer,200,6,0.9766401206292548,0.9766401206292548,-1,-1,False,True
perlayer,200,7,-0.3183333011811652,0.911214771751003,1,-1,True,False
perlayer,200,8,-0.1006624983744166,0.9027587254575392,1,-1,True,False
perlayer,200,9,0.9518491428991916,0.951849142899192,-1,-1,False,True
perlayer,200,10,-0.038199938766725186,0.9765418146631792,1,-1,True,False
perlayer,200,11,0.9748386275003176,0.9748386275003177,1,1,False,True
perlayer,200,12,0.9597321862283497,0.9597321862283497,1,1,False,True
perlayer,200,13,0.9478904150655472,0.947890415065547,1,1,False,True
perlayer,200,14,0.9472873093550692,0.947287309355069,1,1,False,True
perlayer,200,15,0.8963653850113885,0.8963653850113882,1,1,False,True
perlayer,200,16,0.8376276192979557,0.8376276192979555,1,1,False,True
perlayer,200,17,0.7075194088516044,0.707519408851604,1,1,False,True
perlayer,200,18,0.6423475976760106,0.6423475976760106,1,1,False,True
perlayer,200,19,0.6072870424182218,0.6072870424182218,1,1,False,True
perlayer,200,20,0.4862487729469664,0.48624877294696633,1,1,False,True
perlayer,200,21,0.43746488068502554,0.4374648806850255,1,1,False,True
perlayer,200,22,0.35156806649766104,0.35156806649766104,1,1,False,True
perlayer,200,23,0.3018082239154609,0.3018082239154608,1,1,False,True
perlayer,200,24,0.22758431917489486,0.2275843191748948,1,1,False,True
perlayer,200,25,0.24846855142181049,0.24846855142181049,1,1,False,True
perlayer,200,26,0.272673639118579,0.272673639118579,1,1,False,True
perlayer,200,27,0.23812046301516462,0.2381204630151646,1,1,False,True
perlayer,500,0,0.9985978454570783,0.9985978454570779,-1,-1,False,True
perlayer,500,1,0.9974957266069588,0.9974957266069585,-1,-1,False,True
perlayer,500,2,0.9959146885651239,0.9959146885651236,-1,-1,False,True
perlayer,500,3,0.9933043355179377,0.9933043355179373,-1,-1,False,True
perlayer,500,4,0.9728317750263515,0.9728317750263515,-1,-1,False,True
perlayer,500,5,0.9810834181785968,0.9810834181785972,-1,-1,False,True
perlayer,500,6,0.9685619908602116,0.9685619908602117,-1,-1,False,True
perlayer,500,7,-0.29782544516328363,0.8172212188936733,-1,1,True,False
perlayer,500,8,0.9742978353836799,0.9742978353836794,-1,-1,False,True
perlayer,500,9,0.960592734152021,0.9605927341520214,-1,-1,False,True
perlayer,500,10,0.9779944936359098,0.9779944936359096,1,1,False,True
perlayer,500,11,0.9773068315187159,0.9773068315187157,1,1,False,True
perlayer,500,12,0.9629044904415675,0.9629044904415676,1,1,False,True
perlayer,500,13,0.9539995652947717,0.9539995652947719,1,1,False,True
perlayer,500,14,0.6677543188658169,0.8839727783284971,-1,1,True,False
perlayer,500,15,0.9085800263377342,0.9085800263377338,1,1,False,True
perlayer,500,16,0.8515291008577561,0.8515291008577561,1,1,False,True
perlayer,500,17,0.5930853209347181,0.5850734375395437,-1,1,True,False
perlayer,500,18,0.6419119283975265,0.6419119283975264,1,1,False,True
perlayer,500,19,0.6089423798163429,0.6089423798163429,1,1,False,True
perlayer,500,20,0.514647763653882,0.5146477636538819,1,1,False,True
perlayer,500,21,0.4613926148274458,0.4613926148274458,1,1,False,True
perlayer,500,22,0.38044385661961555,0.3804438566196154,1,1,False,True
perlayer,500,23,0.33242324298346354,0.3324232429834636,1,1,False,True
perlayer,500,24,0.26564624456247726,0.26564624456247726,1,1,False,True
perlayer,500,25,0.28340754381171457,0.2834075438117145,1,1,False,True
perlayer,500,26,0.30886326691723354,0.3088632669172334,1,1,False,True
perlayer,500,27,0.2954437189542527,0.29544371895425253,1,1,False,True
